"nu","bowlingDeliveries","bowlingDots","bowlingFours","bowlingRuns","bowlingSingles","bowlingSixes","dotBalls","fours","playerId","runs","singles","sixes","strikeRate","wickets"
"158","18","8","3","20","6","0","2","1","17","12","4","0","1.3333333333333333","1"
"159","18","1","2","34","12","2","1","0","78","3","1","0","1","0"
"160","20","8","1","28","5","1","0","0","15","4","2","0","1.3333333333333333","0"
"161","0","0","0","0","0","0","16","3","21","29","8","0","0.9666666666666667","0"
"162","0","0","0","0","0","0","12","6","23","80","23","3","1.6","0"
"163","0","0","0","0","0","0","7","3","61","13","1","0","1.1818181818181819","0"
"164","12","3","2","21","5","1","10","2","62","21","10","0","0.9130434782608695","0"
"165","0","0","0","0","0","0","7","0","105","0","0","0","0","0"
"166","0","0","0","0","0","0","1","1","64","7","3","0","1.4","0"
"167","12","3","3","33","3","3","13","3","68","32","14","1","1.032258064516129","0"
"168","7","0","0","22","4","3","7","1","67","35","5","3","1.75","0"
"169","15","3","1","31","7","3","1","3","94","36","9","1","2","0"
"170","0","0","0","0","0","0","3","1","96","10","6","0","1","0"
"171","0","0","0","0","0","0","15","10","74","116","14","10","2.32","0"
"172","0","0","0","0","0","0","6","4","76","39","15","1","1.4444444444444444","0"
"173","0","0","0","0","0","0","5","3","57","18","6","0","1.2857142857142858","0"
"174","0","0","0","0","0","0","2","1","59","8","4","0","1.1428571428571428","0"
"175","0","0","0","0","0","0","3","0","60","0","0","0","0","0"
"176","24","8","2","32","8","1","7","3","107","23","7","0","1.2105263157894737","1"
"177","0","0","0","0","0","0","13","6","108","42","16","0","1.1666666666666667","0"
"178","0","0","0","0","0","0","3","2","109","24","6","1","1.7142857142857142","0"
"179","7","2","0","5","5","0","4","1","49","19","9","1","1.2666666666666666","1"
"180","19","7","4","31","5","1","2","2","48","18","6","0","1.5","0"
"181","24","9","2","23","12","0","0","0","92","6","4","0","1.2","1"
"182","0","0","0","0","0","0","2","0","30","1","1","0","0.3333333333333333","0"
"183","0","0","0","0","0","0","21","11","41","80","15","1","1.4545454545454546","0"
"184","0","0","0","0","0","0","1","1","36","4","0","0","2","0"
"185","0","0","0","0","0","0","5","2","87","17","7","0","1.1333333333333333","0"
"186","13","5","1","11","7","0","9","3","40","40","14","2","1.3793103448275863","1"
"187","0","0","0","0","0","0","4","0","110","7","4","0","0.7777777777777778","0"
"188","27","7","2","27","17","0","2","2","27","12","2","0","1.7142857142857142","3"
"189","0","0","0","0","0","0","7","2","21","21","7","1","1.2352941176470589","0"
"190","0","0","0","0","0","0","13","2","23","15","5","0","0.7142857142857143","0"
"191","0","0","0","0","0","0","10","3","25","48","20","2","1.2972972972972974","0"
"192","0","0","0","0","0","0","3","1","29","28","10","2","1.6470588235294117","0"
"193","0","0","0","0","0","0","10","9","28","66","7","3","2.129032258064516","0"
"194","0","0","0","0","0","0","6","1","112","9","5","0","0.75","0"
"195","0","0","0","0","0","0","11","5","14","53","16","2","1.4722222222222223","0"
"196","0","0","0","0","0","0","8","3","73","55","19","3","1.5277777777777777","0"
"197","24","4","2","36","13","1","2","2","7","14","6","0","1.4","0"
"198","0","0","0","0","0","0","3","0","18","4","2","0","0.6666666666666666","0"
"199","0","0","0","0","0","0","2","2","16","12","2","0","1.7142857142857142","0"
"200","0","0","0","0","0","0","1","0","12","0","0","0","0","0"
"201","24","8","1","29","13","2","0","0","2","6","4","0","1.2","2"
"202","24","11","7","39","5","1","1","1","4","8","4","0","1.3333333333333333","3"
"203","24","9","1","34","10","3","0","0","19","3","3","0","1","0"
