"nu","bowlingDeliveries","bowlingDots","bowlingFours","bowlingRuns","bowlingSingles","bowlingSixes","dotBalls","fours","playerId","runs","singles","sixes","strikeRate","wickets"
"1120","0","0","0","0","0","0","12","5","34","49","13","2","1.4411764705882353","0"
"1121","24","10","5","32","7","0","1","1","113","6","2","0","1.5","1"
"1122","0","0","0","0","0","0","2","0","28","7","5","0","0.875","0"
"1123","6","2","0","14","2","2","4","0","33","3","3","0","0.42857142857142855","0"
"1124","24","11","3","25","7","0","2","2","200","14","4","0","1.5555555555555556","4"
"1125","18","6","3","26","8","1","2","0","137","2","0","0","0.6666666666666666","0"
"1126","24","10","2","22","10","0","1","0","37","3","3","0","0.75","1"
"1127","0","0","0","0","0","0","7","2","57","14","4","0","1","0"
"1128","0","0","0","0","0","0","14","5","201","52","15","1","1.3","0"
"1129","0","0","0","0","0","0","1","0","128","0","0","0","0","0"
"1130","18","4","1","23","11","1","7","0","147","13","3","1","1","0"
"1131","0","0","0","0","0","0","18","1","3","21","11","0","0.6363636363636364","0"
"1132","18","6","1","21","9","1","10","3","175","17","3","0","1","0"
"1133","13","4","1","13","7","0","11","10","123","72","18","1","1.6363636363636365","1"
"1134","6","1","1","9","3","0","5","1","1","23","8","1","1.3529411764705883","0"
"1135","0","0","0","0","0","0","2","1","192","20","6","1","1.6666666666666667","0"
"1136","0","0","0","0","0","0","8","0","89","26","6","3","1.4444444444444444","0"
"1137","0","0","0","0","0","0","2","0","36","0","0","0","0","0"
"1138","0","0","0","0","0","0","10","3","41","36","12","1","1.2413793103448276","0"
"1139","0","0","0","0","0","0","12","7","87","58","20","0","1.3181818181818181","0"
"1140","12","2","3","22","5","0","6","1","40","15","9","0","0.8823529411764706","0"
"1141","25","9","5","38","8","1","3","2","27","19","11","0","1.1875","0"
"1142","12","3","1","20","4","1","19","6","62","55","14","1","1.25","0"
"1143","12","2","3","21","5","0","6","2","144","11","3","0","1","0"
"1144","0","0","0","0","0","0","1","0","105","0","0","0","0","0"
"1145","0","0","0","0","0","0","5","0","163","1","1","0","0.16666666666666666","0"
"1146","19","4","3","32","8","1","11","1","94","50","18","2","1.25","0"
"1147","28","11","2","26","12","0","5","4","67","32","7","0","1.6","0"
"1148","25","11","2","23","10","0","24","5","7","73","24","2","1.1587301587301588","0"
"1149","0","0","0","0","0","0","5","1","14","9","3","0","0.9","0"
"1150","0","0","0","0","0","0","14","8","64","68","14","2","1.5813953488372092","0"
"1151","0","0","0","0","0","0","13","3","199","36","14","1","1.0909090909090908","0"
"1152","0","0","0","0","0","0","13","5","23","46","6","3","1.6428571428571428","0"
"1153","0","0","0","0","0","0","4","6","28","60","26","1","1.5384615384615385","0"
"1154","10","5","2","12","2","0","3","1","29","32","10","2","1.6842105263157894","1"
"1155","19","10","1","25","3","2","2","0","113","4","2","0","0.8","2"
"1156","0","0","0","0","0","0","2","0","117","1","1","0","0.3333333333333333","0"
"1157","6","3","0","8","2","1","10","2","79","21","7","1","1.05","0"
"1158","13","4","0","21","5","2","5","2","143","52","8","5","2.260869565217391","0"
"1159","18","3","1","29","11","2","5","2","193","19","9","0","1.1176470588235294","1"
"1160","0","0","0","0","0","0","3","0","75","3","3","0","0.5","0"
"1161","24","7","7","39","9","0","3","0","203","1","1","0","0.25","0"
"1162","26","9","4","36","10","1","4","0","84","2","2","0","0.3333333333333333","1"
"1163","0","0","0","0","0","0","25","5","198","68","14","5","1.3333333333333333","0"
"1164","0","0","0","0","0","0","11","11","97","79","16","1","1.7954545454545454","0"
"1165","24","8","4","30","10","0","3","1","44","12","2","1","1.7142857142857142","1"
"1166","6","2","0","6","2","0","1","5","51","34","3","1","2.8333333333333335","0"
"1167","0","0","0","0","0","0","0","2","197","17","5","0","1.8888888888888888","0"
"1168","0","0","0","0","0","0","0","0","183","1","1","0","1","0"
"1169","0","0","0","0","0","0","1","0","89","0","0","0","0","0"
"1170","6","1","2","11","3","0","3","0","30","1","1","0","0.25","0"
"1171","0","0","0","0","0","0","7","2","36","15","5","0","1","0"
"1172","0","0","0","0","0","0","8","2","41","11","3","0","0.8461538461538461","0"
"1173","0","0","0","0","0","0","7","0","87","9","3","1","0.8181818181818182","0"
"1174","6","0","1","9","5","0","14","3","40","57","21","3","1.2954545454545454","0"
"1175","24","8","6","40","8","1","6","2","27","24","7","0","1.3333333333333333","1"
"1176","24","12","4","30","6","1","4","1","31","6","2","0","0.8571428571428571","2"
"1177","18","7","2","33","5","3","2","0","154","6","4","0","0.8571428571428571","1"
"1178","27","7","4","44","9","1","7","1","24","4","0","0","0.5","0"
"1179","0","0","0","0","0","0","12","10","192","75","21","0","1.5625","0"
"1180","0","0","0","0","0","0","14","1","3","38","12","3","1.1875","0"
"1181","14","4","1","18","7","0","9","0","123","10","10","0","0.5263157894736842","0"
"1182","24","8","5","36","6","0","9","2","177","30","8","1","1.25","0"
"1183","0","0","0","0","0","0","0","0","85","1","1","0","1","0"
"1184","0","0","0","0","0","0","17","7","57","73","23","0","1.2586206896551724","0"
"1185","0","0","0","0","0","0","10","5","201","36","5","1","1.565217391304348","0"
"1186","0","0","0","0","0","0","14","5","147","48","11","1","1.3714285714285714","0"
"1187","0","0","0","0","0","0","15","2","74","28","12","1","0.9032258064516129","0"
"1188","0","0","0","0","0","0","4","0","117","2","2","0","0.3333333333333333","0"
"1189","24","11","0","14","12","0","7","1","193","20","2","2","1.5384615384615385","2"
"1190","12","5","0","7","7","0","11","2","79","39","19","1","1.0833333333333333","4"
"1191","6","2","0","14","2","2","4","1","143","16","6","1","1.3333333333333333","0"
"1192","0","0","0","0","0","0","2","2","75","29","11","1","1.6111111111111112","0"
"1193","0","0","0","0","0","0","0","0","130","6","3","0","1.5","0"
"1194","24","11","2","25","9","1","1","0","203","5","1","0","1.25","0"
"1195","0","0","0","0","0","0","2","0","144","2","2","0","0.5","0"
"1196","24","6","2","32","12","1","5","1","62","5","1","0","0.7142857142857143","1"
"1197","0","0","0","0","0","0","19","7","163","53","21","0","1.0816326530612246","0"
"1198","0","0","0","0","0","0","9","3","65","30","4","2","1.5789473684210527","0"
"1199","18","8","2","17","7","0","7","0","94","13","6","0","0.8125","1"
"1200","26","13","2","21","9","0","2","0","72","7","7","0","0.7777777777777778","1"
"1201","18","4","0","25","11","2","1","0","134","11","5","1","1.5714285714285714","1"
"1202","25","12","2","20","10","0","9","0","7","12","4","1","0.8","1"
"1203","0","0","0","0","0","0","5","1","14","8","2","0","0.8888888888888888","0"
"1204","0","0","0","0","0","0","12","3","64","19","7","0","0.8636363636363636","0"
"1205","0","0","0","0","0","0","2","0","12","0","0","0","0","0"
"1206","0","0","0","0","0","0","10","1","16","15","11","0","0.6818181818181818","0"
"1207","0","0","0","0","0","0","3","0","18","6","4","0","0.75","0"
"1208","6","1","0","11","3","1","4","1","191","16","12","0","0.9411764705882353","0"
"1209","18","6","3","24","7","0","5","0","202","10","6","0","0.7692307692307693","1"
"1210","25","13","4","31","5","1","2","0","2","7","1","1","1.75","0"
"1211","7","3","0","9","3","1","7","0","66","12","4","1","0.9230769230769231","0"
"1212","0","0","0","0","0","0","14","3","198","52","14","3","1.368421052631579","0"
"1213","7","4","1","6","2","0","4","1","197","9","2","0","1.125","1"
"1214","0","0","0","0","0","0","7","2","44","24","9","0","1.1428571428571428","0"
"1215","0","0","0","0","0","0","1","0","34","0","0","0","0","0"
"1216","12","2","0","10","10","0","5","4","29","33","11","1","1.5714285714285714","0"
"1217","0","0","0","0","0","0","25","9","23","94","14","6","1.6206896551724137","0"
"1218","0","0","0","0","0","0","6","7","28","56","8","2","2.074074074074074","0"
"1219","19","5","4","36","4","1","0","0","113","2","2","0","1","1"
"1220","18","6","3","23","7","0","10","1","30","16","8","0","0.7619047619047619","0"
"1221","0","0","0","0","0","0","8","3","41","50","6","4","2","0"
"1222","0","0","0","0","0","0","5","5","40","62","22","2","1.631578947368421","0"
"1223","0","0","0","0","0","0","2","3","87","44","16","2","1.76","0"
"1224","0","0","0","0","0","0","2","0","61","1","1","0","0.3333333333333333","0"
"1225","25","11","0","15","13","0","4","0","163","0","0","0","0","1"
"1226","0","0","0","0","0","0","11","0","65","14","10","0","0.6086956521739131","0"
"1227","6","1","3","19","1","1","7","2","144","16","4","0","1.0666666666666667","0"
"1228","0","0","0","0","0","0","12","1","67","19","15","0","0.6785714285714286","0"
"1229","6","4","0","2","2","0","11","2","94","40","16","2","1.2121212121212122","0"
"1230","24","9","2","21","13","0","1","0","69","10","4","1","1.6666666666666667","1"
"1231","0","0","0","0","0","0","5","2","105","13","5","0","1.0833333333333333","0"
"1232","11","3","4","22","3","0","1","0","134","1","1","0","0.5","0"
"1233","18","9","0","9","9","0","2","0","72","2","2","0","0.5","0"
"1234","0","0","0","0","0","0","10","2","57","20","12","0","0.8333333333333334","0"
"1235","0","0","0","0","0","0","15","0","201","24","14","1","0.75","0"
"1236","0","0","0","0","0","0","14","6","128","50","15","1","1.3157894736842106","0"
"1237","0","0","0","0","0","0","8","2","147","19","9","0","0.95","0"
"1238","0","0","0","0","0","0","1","1","109","5","1","0","1.6666666666666667","0"
"1239","0","0","0","0","0","0","10","3","74","22","2","1","1.2941176470588236","0"
"1240","0","0","0","0","0","0","5","1","117","13","5","0","1","0"
"1241","18","6","0","24","8","2","6","1","193","27","5","2","1.588235294117647","2"
"1242","12","4","1","13","5","0","9","1","79","9","5","0","0.6","2"
"1243","7","0","1","20","4","2","9","2","77","63","13","4","1.7027027027027026","0"
"1244","6","3","0","3","3","0","8","1","75","34","12","2","1.3076923076923077","0"
"1245","0","0","0","0","0","0","6","4","89","31","5","1","1.7222222222222223","0"
"1246","0","0","0","0","0","0","4","1","41","10","6","0","0.9090909090909091","0"
"1247","6","2","0","11","1","1","4","1","40","18","6","1","1.3846153846153846","0"
"1248","0","0","0","0","0","0","5","1","36","26","8","1","1.368421052631579","0"
"1249","0","0","0","0","0","0","5","1","87","44","18","3","1.5172413793103448","0"
"1250","25","5","3","44","10","2","4","2","27","14","6","0","1.1666666666666667","1"
"1251","25","11","1","26","8","1","1","0","32","3","3","0","0.75","1"
"1252","27","13","2","24","8","0","2","0","22","14","6","1","1.4","1"
"1253","18","6","1","26","8","2","0","1","31","9","5","0","1.5","1"
"1254","0","0","0","0","0","0","10","2","97","32","18","0","0.9696969696969697","0"
"1255","0","0","0","0","0","0","2","0","198","0","0","0","0","0"
"1256","0","0","0","0","0","0","15","3","120","27","5","1","1.0384615384615385","0"
"1257","14","4","1","16","6","0","7","3","51","27","7","1","1.4210526315789473","0"
"1258","25","9","3","28","11","0","9","0","44","7","1","1","0.6363636363636364","0"
"1259","0","0","0","0","0","0","1","1","197","10","6","0","1.25","0"
"1260","0","0","0","0","0","0","3","0","183","7","1","1","1.4","0"
"1261","27","14","2","27","8","1","1","2","55","22","6","1","2","1"
"1262","13","6","3","22","2","1","1","0","196","8","4","0","1.1428571428571428","0"
"1263","0","0","0","0","0","0","7","0","199","11","5","1","0.8461538461538461","0"
"1264","0","0","0","0","0","0","17","4","23","52","19","1","1.1304347826086956","0"
"1265","18","5","1","21","11","1","7","1","29","14","2","1","1.1666666666666667","1"
"1266","0","0","0","0","0","0","18","9","34","63","10","1","1.4651162790697674","0"
"1267","0","0","0","0","0","0","16","4","62","32","7","0","1.0666666666666667","0"
"1268","0","0","0","0","0","0","3","0","144","0","0","0","0","0"
"1269","0","0","0","0","0","0","12","4","105","65","27","1","1.25","0"
"1270","0","0","0","0","0","0","9","2","163","60","22","3","1.4285714285714286","0"
"1271","21","10","2","23","6","0","5","2","7","12","2","0","1.2","0"
"1272","0","0","0","0","0","0","13","4","16","23","7","0","0.9583333333333334","0"
"1273","0","0","0","0","0","0","4","1","64","4","0","0","0.8","0"
"1274","0","0","0","0","0","0","6","0","73","16","8","1","1","0"
"1275","0","0","0","0","0","0","3","0","12","12","8","0","0.9230769230769231","0"
"1276","0","0","0","0","0","0","7","1","18","52","18","2","1.4054054054054055","0"
"1277","18","7","0","17","9","1","0","1","191","8","4","0","1.6","1"
"1278","25","9","2","30","10","1","6","0","66","7","5","0","0.5833333333333334","1"
"1279","24","5","3","32","12","0","2","1","103","7","3","0","1.1666666666666667","0"
"1280","0","0","0","0","0","0","2","0","3","7","1","1","1.75","0"
"1281","6","5","0","2","0","0","3","0","123","0","0","0","0","0"
"1282","0","0","0","0","0","0","17","1","1","47","24","2","1","0"
"1283","0","0","0","0","0","0","2","0","192","1","1","0","0.3333333333333333","0"
"1284","0","0","0","0","0","0","13","2","184","14","6","0","0.6666666666666666","0"
"1285","0","0","0","0","0","0","1","0","85","0","0","0","0","0"
"1286","26","7","5","35","13","0","6","0","177","2","2","0","0.25","1"
"1287","19","10","2","23","3","1","12","3","17","41","7","2","1.4137931034482758","0"
"1288","24","7","1","23","13","0","1","0","78","11","7","0","1.1","0"
"1289","0","0","0","0","0","0","15","4","57","23","5","0","0.92","0"
"1290","0","0","0","0","0","0","8","5","201","39","9","1","1.56","0"
"1291","24","11","1","18","10","0","1","0","147","2","2","0","0.6666666666666666","0"
"1292","0","0","0","0","0","0","9","5","128","43","15","0","1.303030303030303","0"
"1293","0","0","0","0","0","0","7","0","109","18","12","0","0.8181818181818182","0"
"1294","0","0","0","0","0","0","7","3","193","29","5","1","1.5263157894736843","0"
"1295","0","0","0","0","0","0","7","0","74","11","3","1","0.9166666666666666","0"
"1296","18","6","0","12","12","0","5","0","79","9","9","0","0.6428571428571429","4"
"1297","24","9","3","31","9","1","5","2","77","30","7","1","1.5789473684210527","0"
"1298","6","2","0","4","4","0","8","0","143","48","16","4","1.5","0"
"1299","25","14","2","19","8","0","3","0","83","20","8","1","1.3333333333333333","2"
"1300","0","0","0","0","0","0","1","2","75","12","4","0","1.7142857142857142","0"
"1301","0","0","0","0","0","0","0","1","130","7","1","0","2.3333333333333335","0"
"1302","0","0","0","0","0","0","2","0","97","1","1","0","0.3333333333333333","0"
"1303","0","0","0","0","0","0","20","6","120","45","11","1","1.125","0"
"1304","0","0","0","0","0","0","8","1","197","9","2","0","0.75","0"
"1305","0","0","0","0","0","0","5","2","198","16","6","0","1.1428571428571428","0"
"1306","24","8","1","34","8","2","1","0","44","7","5","0","1","3"
"1307","24","8","1","27","11","1","3","0","51","19","15","0","0.95","2"
"1308","19","8","1","20","8","1","4","1","205","9","3","0","1","0"
"1309","18","3","4","33","9","1","4","0","56","1","1","0","0.2","1"
"1310","6","4","0","3","1","0","2","0","58","5","5","0","0.7142857142857143","0"
"1311","0","0","0","0","0","0","21","10","3","90","27","2","1.40625","0"
"1312","0","0","0","0","0","0","5","1","1","4","0","0","0.6666666666666666","0"
"1313","0","0","0","0","0","0","4","1","190","7","1","0","1","0"
"1314","6","2","2","10","2","0","7","3","9","44","13","2","1.5714285714285714","0"
"1315","15","2","4","32","6","1","3","2","209","17","9","0","1.2142857142857142","0"
"1316","0","0","0","0","0","0","0","0","85","11","3","1","2.2","0"
"1317","24","4","3","29","17","0","7","3","165","23","9","0","1.15","0"
"1318","26","11","4","41","8","2","20","4","7","36","12","1","0.9473684210526315","0"
"1319","0","0","0","0","0","0","3","0","64","8","6","0","0.8","0"
"1320","0","0","0","0","0","0","5","7","73","81","12","5","2.4545454545454546","0"
"1321","0","0","0","0","0","0","4","1","12","13","7","0","1","0"
"1322","0","0","0","0","0","0","3","0","18","15","4","0","1.5","0"
"1323","0","0","0","0","0","0","9","5","89","48","8","3","1.8461538461538463","0"
"1324","0","0","0","0","0","0","2","0","41","0","0","0","0","0"
"1325","20","10","1","14","8","0","3","0","27","0","0","0","0","0"
"1326","0","0","0","0","0","0","12","0","36","13","6","0","0.65","0"
"1327","12","5","0","14","4","1","12","2","40","12","4","0","0.6666666666666666","0"
"1328","0","0","0","0","0","0","2","0","32","6","4","0","0.8571428571428571","0"
"1329","12","5","2","16","3","0","7","2","30","23","15","0","0.9583333333333334","0"
"1330","0","0","0","0","0","0","3","0","150","5","3","0","0.7142857142857143","0"
"1331","30","15","3","25","11","0","6","1","22","9","5","0","0.75","1"
"1332","6","1","2","21","1","2","8","0","24","3","3","0","0.2727272727272727","0"
"1333","14","7","0","17","5","2","29","7","94","74","18","3","1.1935483870967742","2"
"1334","6","2","0","5","3","0","4","0","105","1","1","0","0.2","1"
"1335","0","0","0","0","0","0","8","4","144","42","13","1","1.4482758620689655","0"
"1336","0","0","0","0","0","0","12","0","57","21","11","1","0.8076923076923077","0"
"1337","0","0","0","0","0","0","3","0","201","5","3","0","0.7142857142857143","0"
"1338","12","4","0","8","8","0","8","7","147","39","1","1","2.0526315789473686","0"
"1339","0","0","0","0","0","0","11","4","128","44","18","1","1.2222222222222223","0"
"1340","0","0","0","0","0","0","2","1","59","12","6","0","1.2","0"
"1341","0","0","0","0","0","0","7","4","109","50","7","3","2.0833333333333335","0"
"1342","16","6","0","15","9","1","1","0","49","0","0","0","0","4"
"1343","18","4","0","39","5","4","1","0","148","2","2","0","0.6666666666666666","0"
"1344","0","0","0","0","0","0","4","0","193","4","4","0","0.5","0"
"1345","0","0","0","0","0","0","9","5","74","66","16","5","1.8857142857142857","0"
"1346","0","0","0","0","0","0","4","1","79","6","2","0","0.8571428571428571","0"
"1347","0","0","0","0","0","0","15","3","130","30","16","0","0.8571428571428571","0"
"1348","19","10","1","19","5","1","5","3","77","43","7","2","1.8695652173913044","1"
"1349","27","10","4","52","5","3","0","1","83","10","4","0","1.6666666666666667","3"
"1350","0","0","0","0","0","0","2","0","75","1","1","0","0.3333333333333333","0"
"1351","25","9","1","26","12","1","1","0","84","0","0","0","0","0"
"1352","0","0","0","0","0","0","5","0","199","5","3","0","0.5555555555555556","0"
"1353","0","0","0","0","0","0","9","5","23","63","19","3","1.6153846153846154","0"
"1354","0","0","0","0","0","0","6","3","29","13","1","0","1.3","0"
"1355","0","0","0","0","0","0","6","1","28","19","11","0","0.95","0"
"1356","10","2","2","16","4","0","8","0","33","7","7","0","0.4666666666666667","2"
"1357","0","0","0","0","0","0","7","0","34","2","2","0","0.2222222222222222","0"
"1358","25","16","1","13","7","0","2","1","113","9","3","0","1.2857142857142858","2"
"1359","24","8","1","25","13","1","3","1","200","7","3","0","1","0"
"1360","25","7","1","32","14","2","1","0","137","0","0","0","0","2"
"1361","24","14","3","24","6","1","1","1","37","4","0","0","2","1"
"1362","0","0","0","0","0","0","1","1","64","6","2","0","1.5","0"
"1363","0","0","0","0","0","0","5","2","12","9","1","0","1.125","0"
"1364","0","0","0","0","0","0","17","3","73","51","25","1","1.02","0"
"1365","0","0","0","0","0","0","14","5","182","54","17","2","1.35","0"
"1366","0","0","0","0","0","0","10","3","97","19","5","0","1","0"
"1367","19","4","1","25","11","1","7","3","44","17","3","0","1.2142857142857142","0"
"1368","7","0","3","18","2","0","8","4","51","45","21","1","1.2857142857142858","0"
"1369","0","0","0","0","0","0","5","1","106","7","3","0","0.7777777777777778","0"
"1370","0","0","0","0","0","0","3","0","198","1","1","0","0.25","0"
"1371","26","9","2","34","11","1","1","0","210","2","2","0","0.6666666666666666","1"
"1372","0","0","0","0","0","0","12","2","133","18","6","0","0.8181818181818182","0"
"1373","20","6","2","30","10","2","2","0","94","1","1","0","0.3333333333333333","1"
"1374","0","0","0","0","0","0","3","0","105","4","4","0","0.5714285714285714","0"
"1375","0","0","0","0","0","0","8","4","144","44","17","1","1.375","0"
"1376","6","3","0","3","3","0","8","0","62","23","8","0","1.0454545454545454","3"
"1377","18","7","1","19","9","1","1","0","163","5","5","0","0.8333333333333334","0"
"1378","0","0","0","0","0","0","4","4","67","37","5","1","1.9473684210526316","0"
"1379","24","8","5","32","10","0","1","0","69","9","7","0","1","1"
"1380","25","11","4","29","8","0","3","0","72","2","2","0","0.4","0"
"1381","6","2","0","4","4","0","1","0","207","0","0","0","0","1"
"1382","25","11","4","28","8","0","1","0","164","0","0","0","0","1"
"1383","0","0","0","0","0","0","5","0","57","8","4","0","0.7272727272727273","0"
"1384","0","0","0","0","0","0","4","2","59","12","4","0","1.2","0"
"1385","6","2","1","7","3","0","10","2","147","16","8","0","0.8","0"
"1386","0","0","0","0","0","0","6","1","128","12","2","0","1","0"
"1387","0","0","0","0","0","0","9","2","187","30","12","0","1.0714285714285714","0"
"1388","0","0","0","0","0","0","10","0","109","32","11","1","1.103448275862069","0"
"1389","30","13","2","31","11","1","6","0","48","3","1","0","0.375","2"
"1390","19","10","2","15","7","0","1","0","53","1","1","0","0.5","0"
"1391","19","7","3","22","8","0","1","0","49","0","0","0","0","0"
"1392","24","12","4","42","2","3","1","0","126","5","3","0","1","1"
"1393","24","19","0","6","4","0","0","0","71","1","1","0","1","1"
"1394","0","0","0","0","0","0","7","3","62","32","4","2","1.7777777777777777","0"
"1395","20","12","3","23","3","1","6","1","94","5","1","0","0.625","1"
"1396","12","3","0","10","8","0","16","4","163","65","27","2","1.2037037037037037","0"
"1397","0","0","0","0","0","0","4","0","144","11","9","0","0.7857142857142857","0"
"1398","0","0","0","0","0","0","10","1","67","33","11","2","1.2222222222222223","0"
"1399","18","4","2","28","8","1","0","0","69","1","1","0","1","0"
"1400","0","0","0","0","0","0","1","0","21","0","0","0","0","0"
"1401","24","7","0","23","15","1","8","2","29","20","0","2","1.6666666666666667","1"
"1402","0","0","0","0","0","0","18","6","23","80","25","1","1.3114754098360655","0"
"1403","0","0","0","0","0","0","10","3","34","27","9","1","1.173913043478261","0"
"1404","0","0","0","0","0","0","8","2","28","24","10","0","1.0434782608695652","0"
"1405","0","0","0","0","0","0","8","1","3","22","6","1","1.1578947368421053","0"
"1406","0","0","0","0","0","0","20","3","1","33","15","0","0.8048780487804879","0"
"1407","18","6","2","24","8","1","13","5","123","49","18","0","1.1951219512195121","1"
"1408","6","1","0","6","4","0","2","1","9","47","6","4","2.611111111111111","0"
"1409","0","0","0","0","0","0","1","0","85","7","1","1","2.3333333333333335","0"
"1410","28","6","3","59","10","4","1","0","211","2","0","0","1","1"
"1411","0","0","0","0","0","0","15","5","74","45","7","2","1.40625","0"
"1412","0","0","0","0","0","0","17","3","117","28","12","0","0.8235294117647058","0"
"1413","0","0","0","0","0","0","8","3","193","32","10","1","1.3333333333333333","0"
"1414","24","11","1","29","7","2","1","0","77","19","9","1","1.4615384615384615","2"
"1415","12","4","1","15","4","0","1","2","79","35","6","2","2.5","1"
"1416","0","0","0","0","0","0","1","0","75","7","5","0","1","0"
"1417","0","0","0","0","0","0","9","0","89","12","4","1","0.8","0"
"1418","0","0","0","0","0","0","5","2","41","12","4","0","1.0909090909090908","0"
"1419","0","0","0","0","0","0","1","0","150","1","1","0","0.5","0"
"1420","24","15","0","13","5","0","9","2","40","20","6","1","1.1111111111111112","3"
"1421","0","0","0","0","0","0","10","4","36","57","22","1","1.3255813953488371","0"
"1422","6","1","1","18","2","2","7","0","32","12","12","0","0.631578947368421","0"
"1423","19","9","4","29","3","1","3","2","27","17","3","0","1.5454545454545454","2"
"1424","26","11","2","32","9","1","4","0","22","2","2","0","0.3333333333333333","1"
"1425","24","11","1","20","8","0","0","0","31","1","1","0","1","0"
"1426","0","0","0","0","0","0","24","3","117","26","6","0","0.7027027027027027","0"
"1427","0","0","0","0","0","0","7","4","74","23","1","1","1.7692307692307692","0"
"1428","25","10","2","23","11","0","1","0","193","0","0","0","0","1"
"1429","13","8","0","10","4","1","8","1","77","27","11","0","1.0384615384615385","2"
"1430","0","0","0","0","0","0","4","1","57","8","2","0","1","0"
"1431","0","0","0","0","0","0","4","0","59","4","4","0","0.5","0"
"1432","0","0","0","0","0","0","13","8","128","80","26","0","1.4545454545454546","0"
"1433","6","1","2","11","3","0","15","1","147","35","22","0","0.8333333333333334","0"
"1434","0","0","0","0","0","0","1","1","109","23","3","1","2.090909090909091","0"
"1435","0","0","0","0","0","0","6","1","182","7","3","0","0.7","0"
"1436","0","0","0","0","0","0","4","0","97","1","1","0","0.2","0"
"1437","0","0","0","0","0","0","11","1","198","10","4","0","0.5882352941176471","0"
"1438","25","8","1","23","13","0","6","3","210","43","18","0","1.303030303030303","1"
"1439","12","2","1","13","9","0","6","3","51","26","7","0","1.368421052631579","0"
"1440","6","2","0","4","4","0","4","0","44","1","1","0","0.2","0"
"1441","6","1","2","11","3","0","6","0","183","11","4","0","0.8461538461538461","0"
"1442","18","6","2","23","6","0","1","0","204","0","0","0","0","0"
"1443","6","3","2","9","1","0","4","0","56","8","6","0","0.7272727272727273","0"
"1444","24","4","0","28","13","0","2","0","55","6","0","1","2","0"
"1445","27","11","3","39","8","1","2","5","58","23","3","0","2.3","2"
"1446","0","0","0","0","0","0","6","5","21","32","10","0","1.4545454545454546","0"
"1447","0","0","0","0","0","0","10","4","212","36","11","0","1.2857142857142858","0"
"1448","18","4","2","25","7","0","11","3","29","55","17","3","1.4473684210526316","0"
"1449","0","0","0","0","0","0","6","4","28","43","17","1","1.4333333333333333","0"
"1450","19","5","5","39","6","1","2","1","113","22","6","2","2","0"
"1451","0","0","0","0","0","0","10","0","1","4","4","0","0.2857142857142857","0"
"1452","0","0","0","0","0","0","18","11","3","86","11","3","1.7916666666666667","0"
"1453","12","3","2","16","6","0","12","4","123","71","17","4","1.6136363636363635","0"
"1454","13","4","0","18","4","1","0","0","9","3","1","0","1.5","1"
"1455","0","0","0","0","0","0","1","2","85","25","7","1","1.9230769230769231","0"
"1456","0","0","0","0","0","0","8","3","57","27","5","1","1.4210526315789473","0"
"1457","0","0","0","0","0","0","2","0","59","0","0","0","0","0"
"1458","0","0","0","0","0","0","2","0","187","0","0","0","0","0"
"1459","0","0","0","0","0","0","12","3","128","28","12","0","0.9655172413793104","0"
"1460","0","0","0","0","0","0","3","1","109","32","24","0","1.0666666666666667","0"
"1461","18","2","1","22","12","0","1","0","213","3","3","0","0.75","0"
"1462","13","3","0","20","8","2","7","1","214","22","11","0","1","2"
"1463","12","5","0","9","5","0","1","0","48","18","6","0","1.3846153846153846","0"
"1464","24","5","2","32","14","1","0","0","53","4","1","0","2","0"
"1465","0","0","0","0","0","0","4","0","64","1","1","0","0.2","0"
"1466","24","11","1","17","11","0","19","2","7","59","27","2","1.0535714285714286","1"
"1467","0","0","0","0","0","0","11","4","12","38","16","0","1.1176470588235294","0"
"1468","0","0","0","0","0","0","4","1","73","26","4","3","2.1666666666666665","0"
"1469","0","0","0","0","0","0","3","1","18","11","3","0","1.2222222222222223","0"
"1470","0","0","0","0","0","0","6","0","198","23","3","3","1.7692307692307692","0"
"1471","0","0","0","0","0","0","1","0","182","1","1","0","0.5","0"
"1472","0","0","0","0","0","0","5","1","120","4","0","0","0.6666666666666666","0"
"1473","0","0","0","0","0","0","13","1","149","14","6","0","0.6363636363636364","0"
"1474","24","13","1","19","9","1","4","2","210","8","0","0","1.3333333333333333","3"
"1475","0","0","0","0","0","0","8","1","44","11","7","0","0.6875","0"
"1476","12","4","1","14","4","0","10","1","51","15","7","0","0.75","0"
"1477","12","5","1","11","5","0","1","0","168","0","0","0","0","0"
"1478","25","10","1","24","12","1","15","1","55","19","11","0","0.6551724137931034","0"
"1479","25","19","2","14","3","0","1","0","58","5","5","0","0.8333333333333334","2"
"1480","21","11","3","20","6","0","1","0","204","1","1","0","0.5","1"
"1481","0","0","0","0","0","0","6","3","212","15","3","0","1.25","0"
"1482","0","0","0","0","0","0","8","4","21","32","10","1","1.391304347826087","0"
"1483","25","11","1","18","12","0","7","2","29","21","13","0","0.9545454545454546","2"
"1484","0","0","0","0","0","0","5","0","34","5","3","0","0.5555555555555556","0"
"1485","0","0","0","0","0","0","1","0","28","2","0","0","1","0"
"1486","0","0","0","0","0","0","7","1","33","19","13","0","0.8636363636363636","0"
"1487","12","6","1","9","5","0","3","0","35","7","1","1","1.4","0"
"1488","24","11","0","14","12","0","10","1","217","8","4","0","0.5333333333333333","2"
"1489","12","5","2","15","3","0","2","0","137","5","3","0","0.8333333333333334","0"
